"filename", "language", "Ignore", "YAML", "JSON", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "vue", "XML", "comment", "blank", "total"
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\models\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\models\inventory.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\models\package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\models\tsconfig.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\types\inventory.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\types\package.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\types\tsconfig.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\package.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\AttachmentDisplay.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\Badge.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 8, 59
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\Button.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 6, 69
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\ColorKey.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\DataDisplay.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\DateDisplay.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\Dropdown.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\EditDate.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\EditInput.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\FilePreviewList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\FileUploader.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 7, 77
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\FilterBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\FormInput.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 53
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\FormTextarea.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\Loading.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\Card.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\Container.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\Grid.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\Navigation.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\TabContainer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 16, 111
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\src\Layouts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\styles\main.css", "PostCSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\ui\tsconfig.json", "JSON with Comments", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\pnpm-lock.yaml", "YAML", 0, 1704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 2013
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\pnpm-workspace.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 5, 1707, 210, 85, 68, 394, 26, 6, 2322, 50, 6, 621, 5500
